System,Adaptation,Total Params,Trainable Params,Trainable %,Val Loss,ROUGE-1,ROUGE-2,ROUGE-L
Base FLAN-T5-small,None,76961152,76961152,100.0,1.4907,0.388,0.2361,0.3244
LoRA FLAN-T5-small,"LoRA r=16, alpha=32, dropout=0.05",78730624,1769472,2.2475,0.4016,0.718,0.6022,0.6687
